City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Puerto Leguizamo,CO,-0.1934,-74.7819,86.85,59,86,4.79,overcast clouds
277,Sydney,AU,-33.8679,151.2073,60.8,72,40,14.97,scattered clouds
278,Zhuanghe,CN,39.7008,122.9911,42.01,88,92,5.53,moderate rain
279,Port Blair,IN,11.6667,92.75,80.91,76,2,3.78,clear sky
280,Ravenna,IT,44.4167,11.9833,45.0,83,100,7.0,overcast clouds
281,Christchurch,NZ,-43.5333,172.6333,60.01,66,58,3.44,broken clouds
282,Lokosovo,RU,61.1333,74.8167,15.67,93,99,10.38,overcast clouds
283,Pisco,PE,-13.7,-76.2167,79.0,73,0,8.05,clear sky
284,Ixtapa,MX,20.7,-105.2,71.6,73,20,2.3,few clouds
285,Abilene,US,32.4487,-99.7331,64.99,33,1,11.5,clear sky
286,Sarangani,PH,5.4033,125.4636,82.54,75,0,8.52,clear sky
287,Stornoway,GB,58.2093,-6.3865,46.4,76,40,12.66,scattered clouds
288,Pocking,DE,48.4,13.3167,41.0,99,93,5.01,overcast clouds
289,Oxford,GB,51.7522,-1.256,48.2,66,75,14.97,light rain
290,Saldanha,ZA,-33.0117,17.9442,64.71,84,96,27.25,overcast clouds
291,Katiola,CI,8.1333,-5.1,91.4,38,40,4.61,scattered clouds
292,Akyab,MM,20.15,92.9,76.51,64,4,9.1,clear sky
293,Coro,VE,11.4045,-69.6734,82.89,66,42,14.12,scattered clouds
294,Puerto Madryn,AR,-42.7692,-65.0385,64.83,58,0,12.82,clear sky
295,Comodoro Rivadavia,AR,-45.8667,-67.5,66.2,48,0,20.71,clear sky
296,Zhumadian,CN,32.9794,114.0294,61.29,83,100,5.86,overcast clouds
297,Jumla,NP,29.2747,82.1838,43.59,80,4,3.13,clear sky
298,Koungou,YT,-12.7336,45.2042,80.6,83,0,3.44,clear sky
299,Port-Cartier,CA,50.0334,-66.8654,17.01,24,75,9.22,broken clouds
300,Lagoa,PT,39.05,-27.9833,60.89,87,0,17.52,clear sky
301,Swan River,CA,52.1058,-101.2676,28.4,64,12,4.61,few clouds
302,Panaba,MX,21.2833,-88.2667,84.42,53,55,11.48,broken clouds
303,Roebourne,AU,-20.7833,117.1333,83.77,71,97,6.31,overcast clouds
304,Nyurba,RU,63.2842,118.3319,-4.97,89,35,8.84,scattered clouds
305,Hirara,JP,24.8,125.2833,68.61,70,7,14.76,clear sky
306,Bandarbeyla,SO,9.4942,50.8122,77.92,81,3,16.22,clear sky
307,Razole,IN,16.4833,81.8333,82.4,65,0,5.75,haze
308,Bafoulabe,ML,13.8065,-10.8321,100.99,7,78,2.91,broken clouds
309,Pyshchug,RU,58.8873,45.7134,25.9,95,100,7.85,overcast clouds
310,Anloga,GH,5.7947,0.8973,78.8,83,20,5.75,moderate rain
311,Whitehorse,CA,60.7161,-135.0538,-11.2,77,20,0.96,fog
312,Neiafu,TO,-18.65,-173.9833,69.8,94,20,4.09,few clouds
313,Caldwell,US,43.6629,-116.6874,48.99,46,1,14.97,clear sky
314,Talovaya,RU,51.1144,40.73,31.77,89,99,11.21,overcast clouds
315,Fecamp,FR,49.7579,0.3746,46.99,81,75,19.57,broken clouds
316,Shelburne,CA,44.0787,-80.2041,30.0,63,88,19.95,overcast clouds
317,Sorland,NO,67.667,12.6934,41.0,87,75,9.22,broken clouds
